,id,name,depot_id,start,ende,pause_ende,pause,vorgaenger,nachfolger,pause_star
0,1,KTW1,6,360,870,720,1,0,0,600
1,2,KTW2,7,360,870,720,1,0,0,600
2,3,KTW3,8,360,870,720,1,0,0,600
3,4,KTW4,14,360,900,720,1,1,1,600
4,5,KTW5,3,390,870,750,1,1,1,630
5,6,KTW6,9,420,870,780,1,0,1,660
6,7,KTW7,4,420,900,780,1,0,0,660
7,8,KTW8,8,420,900,780,1,0,0,660
8,9,KTW9,10,420,930,780,1,0,0,660
9,10,KTW10,5,450,900,810,1,0,1,690
10,11,KTW11,11,450,960,810,1,0,0,690
11,12,KTW12,6,450,960,810,1,0,0,690
12,13,KTW13,14,480,840,NULL,0,0,0,NULL
13,14,KTW14,14,480,840,NULL,0,0,0,NULL
14,15,KTW15,1,480,930,840,1,0,0,720
15,16,KTW16,9,480,990,840,1,0,0,720
16,17,KTW17,8,480,990,840,1,0,0,720
17,18,KTW18,12,480,1000,840,1,0,0,720
18,19,KTW19,12,510,1030,870,1,0,0,750
19,20,KTW20,9,530,1050,890,1,0,0,770
20,21,KTW21,12,530,1050,890,1,0,0,770
21,22,KTW22,5,540,1050,900,1,0,0,780
22,23,KTW23,5,540,1050,900,1,0,0,780
23,24,KTW24,8,540,1050,900,1,0,0,780
24,25,KTW25,8,540,1050,900,1,0,0,780
25,26,KTW26,14,570,930,NULL,0,0,0,NULL
26,27,KTW27,14,570,990,930,1,0,0,810
27,28,KTW28,14,570,1020,930,1,0,0,810
28,29,KTW29,2,570,1020,930,1,0,0,810
29,30,KTW30,2,570,1020,930,1,0,0,810
30,31,KTW31,13,570,1020,930,1,0,0,810
31,32,KTW32,13,570,1020,930,1,0,0,810
32,33,KTW33,1,570,1020,930,1,0,0,810
33,34,KTW34,1,570,1020,930,1,0,0,810
34,35,KTW35,8,570,1080,930,1,0,0,810
35,36,KTW36,11,720,1230,1080,1,0,0,960
36,37,KTW37,14,780,1200,1140,1,0,0,1020
37,38,KTW38,12,780,1300,1140,1,0,0,1020
38,39,KTW39,14,810,1230,1170,1,0,0,1050
39,40,KTW40,8,810,1320,1170,1,0,0,1050
40,41,KTW41,1,840,1320,1200,1,0,0,1080
41,42,KTW42,9,870,1320,1230,1,1,0,1110
42,43,KTW43,3,870,1350,1230,1,1,1,1110
43,44,KTW44,14,900,1380,1260,1,1,1,1140
44,45,KTW45,5,900,1350,1260,1,1,0,1110
45,46,KTW46,12,920,0,1280,1,0,0,1160
46,47,KTW47,6,930,0,1290,1,0,0,1170
47,48,KTW48,7,930,0,1290,1,0,0,1170
48,49,KTW49,8,930,0,1290,1,0,0,1170
49,50,KTW50,14,930,0,1290,1,0,0,1170
50,51,KTW51,3,1350,390,270,1,1,1,150
51,52,KTW52,14,1380,360,300,1,1,1,180
